Language,What roles do you play in your project? (mark all that apply),"Among the roles you play, which one do you consider to be your main role?",How long have you been working on this project? ,Which country did you spend the most time in during your participation in this project?,How many commits did you contribute to the project? ,What is your sex?,What is your educational background (highest degree obtained)?,What is your experience (in years) working in software development?,Were you familiar with the presented description of Technical Debt before this questionnaire?,For what reasons did you commonly modify code in the project? (mark all that apply),How often do you introduce technical debt?,For what reasons have you introduced technical debt? (mark all that apply),How often do you repay your own technical debt?,For what reasons do you repay your own technical debt?,Do you recall **noticing** TD? Please respond per TD type [Code Debt],Do you recall **noticing** TD? Please respond per TD type [Defect Debt],Do you recall **noticing** TD? Please respond per TD type [Design Debt],Do you recall **noticing** TD? Please respond per TD type [Documentation Debt],Do you recall **noticing** TD? Please respond per TD type [Test Debt],Do you recall **introducing** TD? Please respond per TD type [Code Debt],Do you recall **introducing** TD? Please respond per TD type [Defect Debt],Do you recall **introducing** TD? Please respond per TD type [Design Debt],Do you recall **introducing** TD? Please respond per TD type [Documentation Debt],Do you recall **introducing** TD? Please respond per TD type [Test Debt],Do you recall **repaying** TD? Please respond per TD type [Code Debt],Do you recall **repaying** TD? Please respond per TD type [Defect Debt],Do you recall **repaying** TD? Please respond per TD type [Design Debt],Do you recall **repaying** TD? Please respond per TD type [Documentation Debt],Do you recall **repaying** TD? Please respond per TD type [Test Debt],Do you recall **repaying TD that you introduced yourself**? Please respond per TD type [Code Debt],Do you recall **repaying TD that you introduced yourself**? Please respond per TD type [Defect Debt],Do you recall **repaying TD that you introduced yourself**? Please respond per TD type [Design Debt],Do you recall **repaying TD that you introduced yourself**? Please respond per TD type [Documentation Debt],Do you recall **repaying TD that you introduced yourself**? Please respond per TD type [Test Debt]
Java,"Developer (incl. Software Engineer), Team Lead, Scrum Master, Software Architect, Project Manager",Team Lead,3-5 years,The Netherlands,more than 500 commits,Male,MSc,5+,Yes,"New feature, Refactoring",On a regular basis,"Deadline, Inappropriate planning, Lack of well-defined process, Lack of commitment to the project, Team overload",On a regular basis,"When the tech debt becomes visible. Development speed, system performance, system reliability, stability and scalability.",Definetely yes,Definetely yes,Probably yes,I am not sure,Probably yes,Definetely yes,Definetely yes,Probably yes,I am not sure,Probably yes,Definetely yes,Probably yes,Probably yes,Probably yes,Probably yes,Definetely yes,Probably yes,Probably yes,Probably yes,Probably yes
Python,Developer (incl. Software Engineer),Developer (incl. Software Engineer),Less than 1 year,United States,50-100 commits,Male,MSc,5,No,Bug fixing;New feature;Refactoring,Almost never,I am not aware that I introduce technical debt,Almost never,I am not aware that I repay technical debt,Probably not,Probably not,I am not sure,Probably yes,Probably yes,Probably not,Probably not,I am not sure,Probably yes,Probably yes,Probably yes,Probably yes,I am not sure,Probably yes,Probably yes,Probably not,Probably not,Probably not,Probably yes,Probably yes
Python,Developer (incl. Software Engineer),Developer (incl. Software Engineer),1-2 years,India,Less than 10 commits,Female,BSc,1,Yes,Bug fixing;Refactoring,"Sometimes, when it is absolutely essential",Deadline;Lack of well-defined process,On a regular basis,"Easier code maintenance and testing, better usability and scalability",I am not sure,I am not sure,I am not sure,Definetely yes,I am not sure,Definetely not,Definetely not,Definetely not,Definetely not,Definetely not,Definetely not,Definetely not,Definetely not,Definetely yes,Definetely not,Definetely not,Definetely not,Definetely not,Definetely not,Definetely not
Java,Developer (incl. Software Engineer);Software Architect;Product Owner,Developer (incl. Software Engineer),More than 5 years,Belgium,more than 500 commits,Male,BSc,21,Yes,Bug fixing;New feature;Refactoring,"Sometimes, when it is absolutely essential",Deadline;Inappropriate planning;Team overload,On a regular basis,To avoid losing time later when there are time-critical developments to do,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Probably yes,Probably yes,Probably yes,Probably yes,Probably yes,Probably yes,Probably yes,Probably yes,Probably yes,Probably yes,Probably yes,Probably yes,Probably yes,Probably yes,Probably yes
Java,Developer (incl. Software Engineer);DevOps,DevOps,1-2 years,Poland,200-500 commits,Male,MSc,10,Yes,Bug fixing;New feature,"Sometimes, when it is absolutely essential",Lack of well-defined process;Lack of experience;Lack of commitment to the project,On a regular basis,Clean code approach,I am not sure,I am not sure,I am not sure,I am not sure,I am not sure,I am not sure,I am not sure,I am not sure,I am not sure,I am not sure,I am not sure,I am not sure,I am not sure,I am not sure,I am not sure,I am not sure,I am not sure,I am not sure,I am not sure,I am not sure
Python,Developer (incl. Software Engineer),Developer (incl. Software Engineer),Less than 1 year,USA,Less than 10 commits,Male,BSc,5,Yes,Refactoring,"Sometimes, when it is absolutely essential",Deadline;Inappropriate planning;Lack of well-defined process;Non-adoption of good practice;Not effective project management;Lack of qualified professionals that can manage techinical debt;Lack of experience;Outdated or incomplete documentation;I am not aware that I introduce technical debt,On a regular basis,To make code more efficient,Definetely yes,I am not sure,Probably yes,Probably yes,Probably not,Definetely yes,Probably yes,I am not sure,Probably yes,Probably not,Definetely yes,Probably yes,I am not sure,Probably yes,Probably not,Definetely yes,Definetely yes,I am not sure,Definetely yes,Probably not
Java,Developer (incl. Software Engineer);Tester (incl. Quality Assurance),Developer (incl. Software Engineer),More than 5 years,Spain,more than 500 commits,Male,PhD,24,Yes,Bug fixing;New feature;Refactoring,Almost never,Inappropriate planning;Non-adoption of good practice;Outdated or incomplete documentation,Never,NA,Probably yes,Probably yes,Definetely yes,I am not sure,Probably yes,Probably yes,Probably yes,Probably yes,Probably yes,Probably yes,Probably not,Probably not,Probably not,Probably not,Probably not,Probably not,Probably not,Probably not,Probably not,Probably not
Java,Developer (incl. Software Engineer);Software Architect,Developer (incl. Software Engineer),1-2 years,Germany,100-200 commits,Male,MSc,20,Yes,Refactoring,Never,I am not aware that I introduce technical debt,Always,my role is general fixing technical dept.,Definetely yes,Probably yes,Probably yes,Definetely yes,Definetely yes,Probably not,Probably not,Definetely not,Probably not,Probably not,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,I am not sure,I am not sure,I am not sure,Definetely yes,I am not sure
Java,Developer (incl. Software Engineer);Team Lead,Developer (incl. Software Engineer),3-5 years,The Netherlands,more than 500 commits,Male,BSc,10,Yes,Bug fixing;New feature;Refactoring,"Sometimes, when it is absolutely essential",Deadline;Team overload;To maintain speed and agility,Always,To maintain speed and agility,Probably yes,Probably not,Probably yes,I am not sure,Probably not,Probably yes,Probably not,Probably yes,I am not sure,Probably not,Probably yes,Probably yes,Probably yes,I am not sure,Probably yes,Probably yes,I am not sure,Probably yes,I am not sure,Probably yes
Python,Developer (incl. Software Engineer);Tester (incl. Quality Assurance);data scientist,data scientist,3-5 years,United States of America,10-30 commits,Female,PhD,5,Yes,Bug fixing;New feature;Refactoring,"Sometimes, when it is absolutely essential",Deadline;Inappropriate planning;Lack of well-defined process;Non-adoption of good practice;Lack of experience;Team overload,On a regular basis,"trying to be a good citizen to my fellow coders, to make things run faster",Definetely yes,Probably not,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Probably not,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Probably yes,Definetely yes,Definetely yes,Probably not,Definetely yes,Probably yes,Definetely yes,Definetely yes,Probably not
Java,Developer (incl. Software Engineer),Developer (incl. Software Engineer),3-5 years,United States,more than 500 commits,Male,BSc,5,Yes,"Bug fixing, New feature, Refactoring",Almost never,"Deadline, Inappropriate planning, Lack of well-defined process",On a regular basis,For the good of the codebase.,Probably yes,Probably yes,Definetely yes,Probably yes,Probably yes,I am not sure,I am not sure,I am not sure,Probably yes,Probably yes,Definetely yes,Definetely yes,Probably yes,Probably yes,Probably yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes
Java,Developer (incl. Software Engineer),Developer (incl. Software Engineer),1-2 years,India,Less than 10 commits,Male,BTech in Computer Science,3+ Years,Yes,Refactoring,On a regular basis,"Deadline, Lack of well-defined process",On a regular basis,Deadline is the major factor which keeps the code bit duplicate. Whenever free times generally making it look beautiful.,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Probably not,Definetely yes,Definetely not,Probably not,Probably not,Definetely not,Definetely yes,Definetely yes,Probably yes,Probably yes,I am not sure,Definetely yes,Definetely yes,Probably not,Probably yes,I am not sure
Java,"Developer (incl. Software Engineer), Team Lead, Software Architect",Developer (incl. Software Engineer),1-2 years,Brazil,more than 500 commits,Male,BSc,7,Somewhat,"Bug fixing, New feature, Refactoring","Sometimes, when it is absolutely essential","Deadline, Lack of well-defined process, Non-adoption of good practice, Lack of experience",On a regular basis,"To make the code more readable, more maintainable, and to make the implementation of further new features less error-prone.",Definetely yes,Probably yes,Definetely yes,Definetely not,I am not sure,I am not sure,Definetely not,I am not sure,Definetely not,Definetely not,Definetely yes,Definetely yes,Definetely yes,Definetely not,I am not sure,Definetely yes,Definetely yes,Definetely yes,Definetely not,I am not sure
Java,"Developer (incl. Software Engineer), Software Architect",Software Architect,3-5 years,United Kingdom,more than 500 commits,Male,MSc,13,Yes,"Bug fixing, New feature, Refactoring","Sometimes, when it is absolutely essential","Deadline, Not effective project management, Outdated or incomplete documentation, Team overload","Sometimes, when it is absolutely essential",#NAME?,Definetely yes,Probably yes,Probably yes,Definetely yes,Definetely yes,Definetely yes,I am not sure,Probably yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Probably yes,I am not sure,Definetely yes,Definetely yes,Definetely yes,Probably yes,Definetely yes,Definetely yes
Java,Developer (incl. Software Engineer);Tester (incl. Quality Assurance);Team Lead;Software Architect,Developer (incl. Software Engineer),More than 5 years,CZE,200-500 commits,Male,MSc,.,Somewhat,Bug fixing;New feature,"Sometimes, when it is absolutely essential",Deadline;Inappropriate planning;Lack of experience;Outdated or incomplete documentation,"Sometimes, when it is absolutely essential",.,Definetely yes,Definetely yes,Probably yes,Definetely yes,Definetely yes,Probably yes,I am not sure,Definetely not,Definetely not,Probably not,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Probably yes,I am not sure,Probably not,I am not sure,Probably not
Java,Developer (incl. Software Engineer);Team Lead;Software Architect;Product Owner;Engineering Manager,Engineering Manager,3-5 years,Canada,more than 500 commits,Male,MSc,15,Yes,Bug fixing;New feature;Refactoring,"Sometimes, when it is absolutely essential",Lack of well-defined process;Non-adoption of good practice;Lack of commitment to the project;Team overload,"Sometimes, when it is absolutely essential","Usually when it makes sense to do so, when the code needs to support more use cases and leaving the debt there doesn?€?t make sense anymore. ",Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,I am not sure,Probably yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes
Java,Developer (incl. Software Engineer);Team Lead;Software Architect,Software Architect,1-2 years,Argentina,50-100 commits,Male,MSc,20,Yes,Bug fixing;New feature,On a regular basis,Deadline;Team overload,On a regular basis,We setup a stabilization sprint on every quarter where we focus on refactor code.,Probably yes,Probably yes,I am not sure,Definetely yes,I am not sure,Probably yes,I am not sure,I am not sure,Definetely yes,Probably not,Probably yes,Probably yes,Probably yes,Probably yes,Definetely yes,Probably yes,Probably yes,Probably yes,Probably yes,Probably yes
Java,"Developer (incl. Software Engineer);Tester (incl. Quality Assurance);Team Lead;Software Architect;Support, answering queries",Developer (incl. Software Engineer),More than 5 years,UK,50-100 commits,I prefer not to answer,BSc,20+,Yes,Bug fixing;New feature,Almost never,"Not effective project management;Lack of experience;""Good enough"" - Expectation that the debt will never have to be paid",Almost never,Requirements change.,Definetely yes,Definetely yes,Definetely yes,Probably yes,Definetely yes,Probably not,Definetely not,Probably not,Probably not,Probably yes,Definetely yes,Probably yes,I am not sure,Probably yes,Probably not,Probably not,Probably not,Probably not,Probably not,I am not sure
Java,Developer (incl. Software Engineer),Developer (incl. Software Engineer),3-5 years,United States,100-200 commits,Male,BSc,10,Yes,Bug fixing;New feature;Refactoring,"Sometimes, when it is absolutely essential",Lack of well-defined process;Non-adoption of good practice,On a regular basis,It slows me down over time otherwise!,Definetely yes,Probably yes,Definetely yes,Definetely yes,Definetely yes,Probably yes,I am not sure,Definetely yes,Probably yes,Probably yes,Definetely yes,Probably yes,Probably not,Probably not,I am not sure,Probably yes,Probably yes,I am not sure,Probably not,Probably not
Java,Developer (incl. Software Engineer);Team Lead;CI/CD DevOps,Developer (incl. Software Engineer),3-5 years,USA,200-500 commits,Male,MSc,14,Yes,Bug fixing;New feature,On a regular basis,Deadline;Inappropriate planning;Lack of well-defined process;Non-adoption of good practice;Not effective project management;Outdated or incomplete documentation;Team overload,Almost never,.,I am not sure,Probably yes,Definetely yes,Definetely yes,Definetely yes,Probably yes,Probably yes,Probably yes,Definetely yes,Definetely yes,Probably not,Definetely yes,Probably not,Definetely not,Definetely not,I am not sure,Definetely yes,Probably not,Definetely not,Definetely not
Java,Developer (incl. Software Engineer),Developer (incl. Software Engineer),3-5 years,Denmark,more than 500 commits,Male,Computer Science,7,Yes,Bug fixing;New feature;Refactoring,Always,All code is technical debt once written,On a regular basis,Security and maintainability,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes
Java,Developer (incl. Software Engineer);Software Architect,Developer (incl. Software Engineer),3-5 years,italy,50-100 commits,Male,MSc,10,Yes,Bug fixing;New feature;Refactoring,On a regular basis,Lack of experience;tradeoff,On a regular basis,to avoid accumulating too much,Probably yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Probably yes,I am not sure,Probably not,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Probably yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes
Python,PhD candidate,Online contributor,1-2 years,Canada,Less than 10 commits,Male,MSc,12,Yes,Documentation fixes/additions,Almost never,"Lack of well-defined process;Lack of experience;In large, open-source projects I try to avoid introducing technical debt as much as possible. Well documented and built projects facilitated avoiding it.",I don't know,Ease the maintenance burden; make the code more robust.,Probably not,Probably not,Probably not,Probably yes,Probably not,Definetely not,Definetely not,Definetely not,Definetely not,Definetely not,Definetely not,Definetely not,Definetely not,Definetely not,Definetely not,Definetely not,Definetely not,Definetely not,Definetely not,Definetely not
Python,Developer (incl. Software Engineer);Tester (incl. Quality Assurance);Software Architect;Project Manager;Product Owner;scientist,scientist,1-2 years,Italy,50-100 commits,Male,PhD,0,Yes,Bug fixing;New feature,On a regular basis,Deadline;Lack of well-defined process;Non-adoption of good practice;Lack of experience;Team overload,On a regular basis,A sense I should do better.,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes
Python,Contributor,Contributor,More than 5 years,USA,Less than 10 commits,Male,PhD,15,Yes,Bug fixing,I don't know,Deadline;Inappropriate planning;Lack of well-defined process;Non-adoption of good practice;Not effective project management;Lack of qualified professionals that can manage techinical debt;Lack of experience;Outdated or incomplete documentation;Lack of commitment to the project;Team overload,"Sometimes, when it is absolutely essential",to hand off to someone else or to reduce onus of support,Probably yes,Probably yes,Probably yes,Definetely yes,Probably yes,Probably not,Probably not,Probably not,Probably yes,Probably yes,Probably yes,Probably yes,Probably yes,Probably yes,Probably yes,Probably yes,Probably yes,Probably yes,Probably yes,Probably yes
Java,Developer (incl. Software Engineer),Developer (incl. Software Engineer),Less than 1 year,Brazil,Less than 10 commits,Male,BSc,4 years,Somewhat,Documentation and tests,"Sometimes, when it is absolutely essential",Deadline;Inappropriate planning;Lack of experience;Lack of commitment to the project,On a regular basis,Improve code quality whenever possible.,Probably not,Probably not,Probably not,Probably not,I am not sure,Definetely not,Definetely not,Definetely not,Definetely not,Definetely not,Definetely not,Definetely not,Definetely not,I am not sure,I am not sure,Definetely not,Definetely not,Definetely not,Definetely not,Definetely not
Python,Team Lead,Data Scientist,Less than 1 year,England,Less than 10 commits,Male,MSc,6,Yes,Bug fixing,"Sometimes, when it is absolutely essential",Deadline;Inappropriate planning;Not effective project management;Lack of experience;Outdated or incomplete documentation;Lack of commitment to the project;Team overload,Almost never,If I am working on the project long enough that I feel like I cannot accumulate anymore debt,Probably not,Definetely not,I am not sure,Definetely yes,Probably not,Definetely yes,I am not sure,Definetely yes,Definetely yes,Probably yes,Probably yes,Definetely not,I am not sure,Definetely yes,Definetely yes,Definetely yes,I am not sure,Definetely yes,Definetely yes,Definetely yes
Python,Developer (incl. Software Engineer),Developer (incl. Software Engineer),Less than 1 year,Ireland,Less than 10 commits,Male,MSc,6,Yes,Bug fixing;Refactoring,On a regular basis,Lack of well-defined process;Lack of qualified professionals that can manage techinical debt;Lack of commitment to the project,"Sometimes, when it is absolutely essential",If have time to go back to my notes and can afford to fix them.,Probably yes,Probably yes,I am not sure,Definetely yes,Definetely yes,Probably yes,Probably not,Probably not,Definetely yes,Definetely yes,I am not sure,Probably yes,I am not sure,Probably yes,Definetely yes,Probably not,Definetely not,Definetely not,Probably yes,Definetely yes
Python,Developer (incl. Software Engineer),Developer (incl. Software Engineer),Less than 1 year,United Kingdom,Less than 10 commits,Male,MSc,3,Yes,Bug fixing;New feature;Refactoring,"Sometimes, when it is absolutely essential",Deadline;Non-adoption of good practice;Outdated or incomplete documentation,On a regular basis,To improve the code base and make future changes easier,Probably yes,Definetely yes,Probably yes,Definetely yes,Probably yes,Probably yes,Probably not,Definetely not,Definetely not,Probably yes,Definetely yes,Probably yes,Probably yes,Probably yes,Probably yes,Probably yes,Probably not,I am not sure,Probably not,Probably yes
Python,occasional contributor,N/A,More than 5 years,USA,Less than 10 commits,Male,PhD,"5 years, very little commitment / year",No,New feature,Almost never,I am not aware that I introduce technical debt,Always,"I find the definition of ""introducing technical debt"" quite hard. scikit-learn has rigorous peer review. all technical debt that was introduced, was reviewed and requested to be removed before the PR was accepted. As such, I presume that very little technical debt was allowed in the main repository. ",I am not sure,Probably not,Probably yes,Probably not,Probably not,Probably not,Probably not,Probably not,Probably not,Probably not,Probably yes,Probably yes,Probably yes,Probably yes,Probably yes,Probably yes,Probably yes,Probably yes,Probably yes,Probably yes
Python,Developer (incl. Software Engineer),Developer (incl. Software Engineer),Less than 1 year,USA,Less than 10 commits,Male,BSc,15,Yes,Bug fixing;New feature,"Sometimes, when it is absolutely essential",Deadline;Inappropriate planning;Lack of well-defined process;Not effective project management;Lack of experience;Outdated or incomplete documentation;Lack of commitment to the project;Team overload;I am not aware that I introduce technical debt,On a regular basis,better understanding of the system and how technical debt can be eliminated,Definetely yes,Probably yes,Probably yes,Definetely yes,Definetely yes,Probably yes,Probably yes,Probably yes,Probably not,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes
Python,Developer (incl. Software Engineer);Team Lead;Software Architect,Developer (incl. Software Engineer),Less than 1 year,Russia,Less than 10 commits,Female,MSc,15,Yes,Bug fixing;New feature;Refactoring,"Sometimes, when it is absolutely essential",Deadline;Inappropriate planning;Lack of well-defined process;Non-adoption of good practice;Not effective project management;Lack of qualified professionals that can manage techinical debt;Outdated or incomplete documentation;Lack of commitment to the project;Team overload,"Sometimes, when it is absolutely essential",hard to modify the code,Probably yes,Probably yes,Probably yes,Probably yes,Probably yes,Probably yes,Probably not,Probably yes,Definetely yes,Definetely yes,Probably yes,Probably yes,Probably not,Probably not,Probably yes,Probably yes,Probably not,Probably yes,Probably yes,I am not sure
Python,Developer (incl. Software Engineer),Developer (incl. Software Engineer),More than 5 years,Canada,Less than 10 commits,Male,PhD,14,Yes,New feature,"Sometimes, when it is absolutely essential",Lack of qualified professionals that can manage techinical debt;Lack of commitment to the project,"Sometimes, when it is absolutely essential","When it reaches a threshold where things seem ""messy"" enough to justify a cleanup",Probably not,Probably not,I am not sure,Probably not,Probably not,Probably not,Probably not,Probably not,Probably not,Probably not,Probably not,Probably not,Probably yes,I am not sure,Probably not,Probably not,Probably not,Probably yes,I am not sure,Probably not
